STATEFP,ANSICODE,POINTID,FULLNAME,MTFCC,longitude,latitude
16,NA,11015504291301,Sligars Landing,K2460,-114.356944,42.585833
16,NA,11015504291291,Joslin Field - Magic Valley Regional,K2451,-114.48775,42.481805
16,NA,11015504291230,Craigmont Municipal Arprt,K2451,-116.479361,46.247721
16,NA,11015504291219,Nez Perce Municipal Arprt,K2451,-116.238555,46.238526
16,NA,11015504291248,Lewiston-Nez Perce County Arprt,K2451,-117.015388,46.374499
16,00394766,1102653693339,Midtown Shopping Ctr,C3081,-116.781022,47.682405
16,NA,11015504291166,Burley Municipal Arprt,K2451,-113.770252,42.542042
16,NA,11015504291336,Cuddy Meadows Arprt,K2451,-116.805668,44.704709
16,NA,11015504291313,Coyote Ridge Arprt,K2451,-116.589557,44.413321
16,NA,11015504291293,Jenkins Creek Ranch Arprt,K2451,-116.984446,44.299765
16,NA,11015504291287,Lower Loon Creek Arprt,K2451,-114.808658,44.80867
16,NA,11015504291252,Steele Memorial Heliport,K2460,-113.8914,45.173797
16,NA,11015504291242,Lewis and Clark Airstrip,K2451,-113.864478,45.353206
16,NA,11015504291298,Stocking Meadows Arprt,K2451,-115.8636,46.935448
16,NA,11015504291290,Magee Arprt,K2451,-116.262237,47.836847
16,NA,11015504291281,Shoshone County Arprt,K2451,-116.189063,47.54726
16,NA,11015504291505,Cold Meadows US Forest Service Arprt,K2451,-114.945305,45.293499
16,NA,11015504291470,Dixie US Forest Service Arprt,K2451,-115.516351,45.520171
16,NA,11015504481110,Wilson Bar US Forest Service Arprt,K2451,-115.484308,45.396886
16,NA,11015504291443,Mackay Bar Arprt,K2451,-115.505077,45.37919
16,NA,11015504291425,Mallard Creek Ranch Arprt,K2451,-115.323557,45.612764
16,NA,11015504291411,Fish Lake /usfs/ Arprt,K2451,-115.061898,46.329626
16,NA,11015504291376,Running Creek Ranch Arprt,K2451,-114.834385,45.913514
16,NA,11015504291356,Hungry Ridge Ranch Arprt,K2451,-115.936724,45.781847
16,NA,11015504291344,Wind Ridge Arprt,K2451,-116.177891,45.876097
16,NA,11015504291316,Moose Creek /usfs/ Arprt,K2451,-114.923797,46.123376
16,NA,11015504291288,Orogrande Arprt,K2451,-115.527777,45.729444
16,NA,11015504291279,Pinnacle Arprt,K2451,-116.177199,45.774628
16,NA,11015504291272,Salmon River Helicopters Heliport,K2460,-116.174527,45.420026
16,NA,11015504291264,Shearer /usfs/ Arprt,K2451,-114.841277,45.989499
16,NA,11015504291226,Warren /usfs/ Arprt,K2451,-115.683611,45.26811
16,NA,11015504291213,Clear Creek Int Arprt,K2451,-115.868585,46.048353
16,00376145,1102653704219,Coffee Pt,C3081,-112.968051,43.156299
16,NA,11015504291027,Russell W Anderson Strip,K2451,-112.465094,43.183789
16,00378023,1102653669116,Bonners Ferry Ranger Sta,C3081,-116.338253,48.672714
16,00373179,1102653685802,Hughes Meadows Fire Sta,C3081,-117.000232,48.860482
16,00390681,1102653699104,Smith Creek Guard Sta,C3081,-116.562992,48.968281
16,NA,11015504291039,Sheldon Heliport,K2460,-116.851944,47.25111
16,NA,11015504291029,St Maries Municipal Arprt,K2451,-116.576677,47.32581
16,NA,11015504291020,Sky Island Ranch Arprt,K2451,-116.638616,47.32156
16,NA,11015504291097,Garden Valley Arprt,K2451,-115.931277,44.066943
16,NA,11015504291092,Garden Valley Heliport,K2460,-115.925951,44.064337
16,NA,11015504291086,Loomis Arprt,K2451,-116.239668,43.860431
16,NA,11015504291076,Horseshoe Bend Heliport,K2460,-116.196977,43.913505
16,NA,11015504291069,Idaho City US Forest Service Arprt,K2451,-115.849667,43.820157
