id,time_stamp,humidity,temperature,pm2.5_atm,pm2.5_cf_1
14057,2023-04-01T00:00:00Z,32,59,1.6,1.6
14057,2022-01-01T00:00:00Z,43,41,14.4,14.5
14057,2020-03-01T00:00:00Z,34,56,2.6,2.6
14057,2024-08-01T00:00:00Z,22,86,31.9,41.4
14057,2025-04-01T00:00:00Z,28,64,2.6,2.6
14057,2021-12-01T00:00:00Z,46,45,11.7,12.1
14057,2025-05-01T00:00:00Z,27,72,2.4,2.4
14057,2025-03-01T00:00:00Z,34,57,1.6,1.6
14057,2021-01-01T00:00:00Z,44,46,7.6,7.7
14057,2024-01-01T00:00:00Z,46,43,14.2,15.8
36673,2021-08-01T00:00:00Z,46,71,29.5,37.1
36673,2024-01-01T00:00:00Z,47,32,16.4,17.2
36673,2021-03-01T00:00:00Z,40,46,98.9,145.6
36673,2022-08-01T00:00:00Z,37,77,12.1,12.8
36673,2020-05-01T00:00:00Z,45,60,2.8,3
36673,2020-03-01T00:00:00Z,41,45,6.4,6.7
36673,2020-02-01T00:00:00Z,47,40,7.3,7.7
36673,2021-01-01T00:00:00Z,48,39,9.4,9.9
36673,2020-11-01T00:00:00Z,49,42,10.7,11.5
36673,2021-02-01T00:00:00Z,48,35,8.3,8.9
36673,2025-05-01T00:00:00Z,39,64,4.2,4.7
36673,2020-04-01T00:00:00Z,40,52,5.1,5.4
36673,2022-10-01T00:00:00Z,47,55,12.6,12.8
36673,2020-12-01T00:00:00Z,50,38,13.3,14.2
36673,2022-05-01T00:00:00Z,44,59,1.9,1.9
36673,2023-03-01T00:00:00Z,43,41,6.2,6.3
36673,2025-01-01T00:00:00Z,48,33,16.3,17.3
36673,2021-09-01T00:00:00Z,41,64,19,23.7
36673,2024-02-01T00:00:00Z,49,41,10.4,10.9
36673,2021-12-01T00:00:00Z,48,40,6.4,6.5
36673,2025-02-01T00:00:00Z,47,35,10.9,11.6
36673,2023-12-01T00:00:00Z,50,39,15.8,16.6
36673,2024-12-01T00:00:00Z,48,41,12.5,13.2
36673,2025-03-01T00:00:00Z,41,50,4,4.1
36673,2024-10-01T00:00:00Z,45,54,17.2,20.8
36673,2022-12-01T00:00:00Z,48,34,12.5,13
36673,2022-02-01T00:00:00Z,41,39,6.1,6.3
36673,2022-11-01T00:00:00Z,48,32,22.6,24.6
36673,2023-02-01T00:00:00Z,42,37,6.5,6.7
36673,2021-07-01T00:00:00Z,38,79,132,192.2
36673,2025-06-01T00:00:00Z,37,71,2.9,2.9
36673,2023-09-01T00:00:00Z,45,65,5.6,5.8
